회사명,corp_eng_name,종목코드,is_defaulted
현대리바트,HYUNDAI LIVART FURNITURE COMPANY LIMITED,079430,0
현대로템,Hyundai-Rotem Co.,064350,0
현대금속,HYUNDAE METAL Inc.,018410,0
현대글로비스,"HYUNDAI GLOVIS Co., LTD.",086280,0
현대그린푸드,"HYUNDAI GREEN FOOD CO., LTD",453340,0
현대공업,"HYUNDAI INDUSTRIAL CO.,LTD",170030,0
현대경매부동산일호투자회사,HYUNDAI AUCTION REAL ESTATE FUND 1ST,083160,0
현대건설,"HYUNDAI ENGINEERING & CONSTRUCTION CO.,LTD",000720,0
현대DSF,"HYUNDAI DSF CO.,LTD",016510,0
현대ADM,Hyundai ADM Bio lnc.,187660,0
헬릭스미스,"Helixmith Co., Ltd",084990,0
헥토파이낸셜,"Hecto Financial Co., Ltd.",234340,0
헥토이노베이션,"Hecto Innovation Co., Ltd.",214180,0
헤파호프코리아,HepaHope Korea Inc.,039350,0
헤쎄나,"Hecenat Co.,Ltd",036270,0
헝셩그룹,HENG SHENG HOLDING GROUP COMPANY LIMITED,900270,0
허메스홀딩스,"Hermesholdings Co.,LTD",012400,0
행남사,HAENGNAM INC.,008800,0
핸즈코퍼레이션,HANDS CORPORATION LTD.,143210,0
핸디소프트,"HANDYSOFT, Inc.",220180,0
핸디소프트,HandySoft Corp.,032380,0
해피드림,"HappyDream Co., Ltd.",065180,0
해태제과식품,"Haitai Confectionery and Foods Co., Ltd.",101530,0
해원에스티,"HAE WON STEELTECH.CO.,LTD",058480,0
해성옵틱스,"Haesung Optics Co.,Ltd",076610,0
해성에어로보틱스,"Haisung Aero-Robotics Co., Ltd.",059270,0
해성산업,"Haesung Industrial Co., Ltd.",034810,0
해성디에스,"HAESUNG DS Co.,Ltd.",195870,0
한화화인케미칼,"HANWHA FINE CHEMICAL CO., LTD.",025850,0
한화플러스제5호스팩,Hanwha Plus No 5 Special Purpose Acquisition Company,498390,0
한화플러스제4호스팩,Hanwha Plus No 4 Special Purpose Acquisition Company,455310,0
한화플러스제3호기업인수목적,Hanwha Plus No 3 Special Purpose Acquisition Company,430460,0
한화플러스제2호기업인수목적,Hanwha Plus No 2 Special Purpose Acquisiton Company,386580,0
한화투자증권,"HANWHA INVESTMENT&SECURITIES CO.,LTD",003530,0
한화오션,"Hanwha Ocean Co., Ltd.",042660,0
한화엔진,"Hanwha Engine Co., Ltd.",082740,0
한화에이스기업인수목적4호,"Hanwha Ace Special Purpose Acquisition 4th CO., Ltd.",279410,0
한화에이스기업인수목적3호,"Hanwha Ace Special Purpose Acquisition 3rd Co., LTD.",264290,0
