회사명,corp_eng_name,종목코드
현대경매부동산일호투자회사,HYUNDAI AUCTION REAL ESTATE FUND 1ST,083160
현대건설,"HYUNDAI ENGINEERING & CONSTRUCTION CO.,LTD",000720
현대DSF,"HYUNDAI DSF CO.,LTD",016510
현대ADM,Hyundai ADM Bio lnc.,187660
헬릭스미스,"Helixmith Co., Ltd",084990
헥토파이낸셜,"Hecto Financial Co., Ltd.",234340
헥토이노베이션,"Hecto Innovation Co., Ltd.",214180
헤파호프코리아,HepaHope Korea Inc.,039350
헤쎄나,"Hecenat Co.,Ltd",036270
헝셩그룹,HENG SHENG HOLDING GROUP COMPANY LIMITED,900270
허메스홀딩스,"Hermesholdings Co.,LTD",012400
행남사,HAENGNAM INC.,008800
핸즈코퍼레이션,HANDS CORPORATION LTD.,143210
핸디소프트,"HANDYSOFT, Inc.",220180
핸디소프트,HandySoft Corp.,032380
해피드림,"HappyDream Co., Ltd.",065180
해태제과식품,"Haitai Confectionery and Foods Co., Ltd.",101530
해원에스티,"HAE WON STEELTECH.CO.,LTD",058480
해성옵틱스,"Haesung Optics Co.,Ltd",076610
해성에어로보틱스,"Haisung Aero-Robotics Co., Ltd.",059270
해성산업,"Haesung Industrial Co., Ltd.",034810
해성디에스,"HAESUNG DS Co.,Ltd.",195870
한화화인케미칼,"HANWHA FINE CHEMICAL CO., LTD.",025850
한화플러스제5호스팩,Hanwha Plus No 5 Special Purpose Acquisition Company,498390
한화플러스제4호스팩,Hanwha Plus No 4 Special Purpose Acquisition Company,455310
한화플러스제3호기업인수목적,Hanwha Plus No 3 Special Purpose Acquisition Company,430460
한화플러스제2호기업인수목적,Hanwha Plus No 2 Special Purpose Acquisiton Company,386580
한화투자증권,"HANWHA INVESTMENT&SECURITIES CO.,LTD",003530
한화오션,"Hanwha Ocean Co., Ltd.",042660
한화엔진,"Hanwha Engine Co., Ltd.",082740
한화에이스기업인수목적4호,"Hanwha Ace Special Purpose Acquisition 4th CO., Ltd.",279410
한화에이스기업인수목적3호,"Hanwha Ace Special Purpose Acquisition 3rd Co., LTD.",264290
한화에이스기업인수목적2호,"Hanwha Ace Special Purpose Acquisition 2nd Co., LTD.",219860
한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",012450
한화에스비아이기업인수목적,"Hanwha Sbi Special Purpose Acquisition Co., Ltd.",317320
한화에스브이명장제1호기업인수목적,Hanwha SV Meister 1st SPAC,124050
한화시스템,"HANWHA SYSTEMS Co., Ltd.",272210
한화수성기업인수목적,"Hanwha Susung Special Purpose Acquisition CO,.LTD",265920
한화솔루션,HANWHA SOLUTIONS CORPORATION,009830
한화손해보험,"Hanwha General Insurance Co., Ltd.",000370
한화생명,"HANWHA LIFE INSURANCE CO., LTD.",088350
한화비전,"Hanwha Vision CO.,LTD",489790
한화리츠,"Hanwha REIT Co., Ltd.",451800
한화갤러리아타임월드,"Hanwha Galleria Timeworld Co., Ltd.",027390
한화갤러리아,HANWHA GALLERIA CORPORATION,452260
한화,HANWHA CORP,000880
한프,HANP INC,066110
한텔,Hantel Co. Ltd,041940
한텍,HANTECH LTD.,098070
한탑,Hantop Inc.,002680
한켐,"HANCHEM CO.,LTD",457370
한컴지엠디,Hancom GMD Inc.,077280
한컴위드,Hancom WITH Inc.,054920
한컴라이프케어,Hancom Lifecare Inc.,372910
한창제지,"HANCHANG PAPER CO.,LTD",009460
한창산업,"HanchangIndustryCo.,Ltd.",079170
한창,HANCHANG CORPORATION,005110
한진해운,"HANJIN SHIPPING CO., LTD.",117930
한진피앤씨,"Hanjin P&C CO., LTD",061460
한진칼,HANJINKAL,180640
한진중공업홀딩스,"HANJIN HEAVY IND. & CONST. HOLDINGS CO., LTD",003480
한진,"HANJIN TRANSPORTATION CO.,LTD",002320
한중엔시에스,"HanJungNCS.Co.,Ltd",107640
한주에이알티,"HANJOO ART Co.,LTD.",058450
한주라이트메탈,"HANJOO LIGHT METAL CO., LTD.",198940
한전산업,"Korea Electronic Power Industrial Development Co., Ltd",130660
한전기술,"KEPCO Engineering & Construction Company, Inc",052690
한전KPS,"KEPCO Plant Service & Engineering Co., Ltd",051600
한일화학,"HANIL CHEMICAL IND. CO.,LTD",007770
한일홀딩스,"HANIL HOLDINGS CO.,LTD.",003300
한일현대시멘트,"HANIL HYUNDAI CEMENT CO.,LTD",006390
한일철강,"HANIL IRON & STEEL CO.,LTD",002220
한일약품공업,"HANIL PHARMACEUTICALIND CO.,LTD",003040
한일시멘트,"HANILCEMENTCO.,LTD.",300720
한일사료,HANIL FEED Co.Ltd,005860
한일단조,HanilForgingIndustrial,024740
한일네트웍스,"HANIL NETWORKS CO., LTD.",046110
한일건설,"HANIL ENGINEERING & CONSTRUCTION CO.,LTD.",006440
한익스프레스,"HAN EXPRESS CO.,LTD",014130
한울앤제주,"HanWool & Jeju, Inc.",276730
한울소재과학,"HanWool Materials Science, Inc.",091440
한울비앤씨,"HanulBnC CO.,LTD",214870
한울반도체,"HanWool Semiconductor, Inc.",320000
한와이어리스,"Hanwireless Co., Ltd.",037020
한올바이오파마,"HANALL BIOPHARMA CO.,LTD",009420
